SourcePort,DestinationPort,Duration,FlowBytesSent,FlowSentRate,FlowBytesReceived,FlowReceivedRate,Label
443.0,51041.0,4.54404,11256331.0,2477163.713347594,159324.0,35062.19135394935,0
51043.0,443.0,8.171041,930.0,113.81658713987603,11936.0,1460.7685850554417,0
51021.0,443.0,0.033776,162.0,4796.305068687826,138.0,4085.741354808148,0
50308.0,443.0,0.060723,108.0,1778.5682525566917,120.0,1976.186947285213,0
50983.0,443.0,0.019545,55.0,2814.0189306728066,66.0,3376.822716807368,0
49762.0,443.0,0.02958,55.0,1859.364435429344,60.0,2028.3975659229209,0
50649.0,443.0,0.025021,55.0,2198.153551017145,66.0,2637.784261220575,0
50650.0,443.0,0.025077,55.0,2193.244805997528,66.0,2631.893767197033,0
49745.0,443.0,0.044585,55.0,1233.598743972188,66.0,1480.3184927666257,0
49872.0,443.0,0.02509,55.0,2192.10840972499,66.0,2630.530091669988,0
443.0,50794.0,0.027098,213.0,7860.358698058898,108.0,3985.533987748173,0
443.0,50882.0,0.028243,245.0,8674.71585879687,108.0,3823.9563785716814,0
49876.0,443.0,0.139417,55.0,394.49995337727825,66.0,473.3999440527338,0
50646.0,443.0,0.025122,55.0,2189.3161372502186,66.0,2627.179364700263,0
443.0,50797.0,0.027173,213.0,7838.663379089538,108.0,3974.5335443270887,0
50676.0,443.0,0.025168,55.0,2185.314685314685,66.0,2622.377622377622,0
65017.0,443.0,0.138694,55.0,396.55644800784466,60.0,432.60703419037594,0
50426.0,443.0,0.015271,55.0,3601.5977997511623,66.0,4321.917359701394,0
50296.0,443.0,0.025058,55.0,2194.9078138718173,66.0,2633.8893766461806,0
49900.0,443.0,0.139909,55.0,393.1126660901014,66.0,471.7351993081217,0
51042.0,443.0,0.027107,108.0,3984.2107204781046,60.0,2213.450400265614,0
50353.0,443.0,0.02368,162.0,6841.216216216216,145.0,6123.310810810811,0
51039.0,443.0,0.102268,108.0,1056.0488129229084,60.0,586.6937849571714,0
51046.0,443.0,11.104671,1041.0,93.74433515409865,5145.0,463.31854406132334,0
51047.0,443.0,11.064953,1095.0,98.96110720036496,5145.0,464.9816406811669,0
49631.0,443.0,0.02974,55.0,1849.3611297915263,60.0,2017.4848688634836,0
50578.0,443.0,0.088377,834.0,9436.844427848873,657.0,7434.060898197495,0
51051.0,443.0,1.931263,3644.0,1886.8481403102528,13095.0,6780.536881822931,0
49749.0,443.0,0.044319,55.0,1241.0027302060064,66.0,1489.2032762472077,0
51054.0,443.0,15.396193,1141.0,74.10922946990856,4353.0,282.7322312730166,0
51055.0,443.0,0.145658,2190.0,15035.219486742919,29276.0,200991.3633305414,0
51056.0,443.0,0.11299,1025.0,9071.599256571377,4747.0,42012.56748384813,0
51057.0,443.0,0.089898,1041.0,11579.79042915304,4859.0,54050.14572070569,0
51059.0,443.0,0.091139,1203.0,13199.618165659049,5090.0,55848.75848977935,0
51065.0,443.0,0.193901,2090.0,10778.696345042055,14715.0,75889.24244846597,0
50686.0,443.0,0.025072,55.0,2193.6821952776004,66.0,2632.4186343331207,0
50424.0,443.0,0.015181,55.0,3622.9497398063368,66.0,4347.539687767604,0
49990.0,443.0,0.026904,55.0,2044.3056794528693,66.0,2453.1668153434434,0
49775.0,443.0,0.025249,55.0,2178.3040912511383,66.0,2613.9649095013665,0
49433.0,443.0,0.026958,55.0,2040.210698123006,66.0,2448.2528377476074,0
50727.0,443.0,0.015474,55.0,3554.3492309680755,66.0,4265.219077161691,0
50722.0,443.0,0.078974,55.0,696.4317370273761,66.0,835.7180844328514,0
50432.0,443.0,0.016464,55.0,3340.6219630709425,66.0,4008.746355685131,0
50427.0,443.0,0.015229,55.0,3611.5306323461814,66.0,4333.836758815418,0
50729.0,443.0,0.0252,55.0,2182.5396825396824,66.0,2619.0476190476193,0
50428.0,443.0,0.015226,55.0,3612.2422172599504,66.0,4334.69066071194,0
50690.0,443.0,0.0152,55.0,3618.4210526315783,66.0,4342.105263157895,0
50677.0,443.0,0.015151,55.0,3630.123424196423,66.0,4356.148109035707,0
50820.0,443.0,0.142379,55.0,386.29292241131066,66.0,463.5515068935728,0
50810.0,443.0,0.136289,55.0,403.55421200537086,66.0,484.26505440644513,0
50804.0,443.0,0.140336,55.0,391.9165431535743,66.0,470.2998517842891,0
50829.0,443.0,0.136743,55.0,402.2143729477926,66.0,482.6572475373511,0
50830.0,443.0,0.137287,55.0,400.6205977259318,66.0,480.74471727111813,0
49768.0,443.0,0.025087,55.0,2192.370550484314,66.0,2630.8446605811773,0
50323.0,443.0,0.028645,55.0,1920.0558561703613,66.0,2304.0670274044332,0
51075.0,443.0,0.192293,2989.0,15543.987560649632,57646.0,299782.1033526961,0
51076.0,443.0,0.176762,2542.0,14380.918975797964,14317.0,80995.9154116835,0
51077.0,443.0,1.505798,4737.0,3145.840278709362,107784.0,71579.32206046229,0
51078.0,443.0,0.104495,1292.0,12364.227953490596,3919.0,37504.18680319633,0
51079.0,443.0,0.082284,1370.0,16649.652423314375,7383.0,89725.82762140878,0
51081.0,443.0,1.903836,2080.0,1092.5310793576757,17339.0,9107.402108164777,0
65442.0,443.0,0.029764,55.0,1847.869909958339,60.0,2015.8580835909152,0
443.0,51029.0,0.005453,85.0,15587.74986246103,108.0,19805.611589950484,0
51084.0,443.0,0.095362,1675.0,17564.64839244143,5357.0,56175.41578406493,0
51086.0,443.0,0.894278,1653.0,1848.4185007346707,6273.0,7014.597250519413,0
64616.0,443.0,0.131875,55.0,417.0616113744076,60.0,454.9763033175355,0
50365.0,443.0,0.019114,162.0,8475.46301140525,145.0,7586.0625719368,0
51088.0,443.0,0.260679,1576.0,6045.7497535282855,11482.0,44046.50930838311,0
51089.0,443.0,0.264122,1684.0,6375.841467200763,13131.0,49715.66170178933,0
50835.0,443.0,0.134269,55.0,409.6254533808995,66.0,491.5505440570794,0
50837.0,443.0,0.037439,55.0,1469.0563316327891,66.0,1762.8675979593472,0
50368.0,443.0,0.019718,162.0,8215.843391824728,145.0,7353.686986509789,0
50369.0,443.0,0.019117,162.0,8474.132970654391,145.0,7584.872103363497,0
50370.0,443.0,0.019255,162.0,8413.399117112438,145.0,7530.5115554401455,0
50844.0,443.0,0.026876,55.0,2046.4354814704568,66.0,2455.722577764548,0
50842.0,443.0,0.026849,55.0,2048.493426198369,66.0,2458.1921114380425,0
50841.0,443.0,0.026808,55.0,2051.6263801850196,66.0,2461.9516562220233,0
50857.0,443.0,0.037266,55.0,1475.8761337412118,66.0,1771.051360489454,0
49629.0,443.0,0.015216,55.0,3614.6161934805464,66.0,4337.539432176656,0
50859.0,443.0,0.037624,55.0,1461.8328726344887,66.0,1754.1994471613864,0
50866.0,443.0,0.026775,55.0,2054.1549953314657,66.0,2464.985994397759,0
50867.0,443.0,0.026826,55.0,2050.249757697756,66.0,2460.299709237307,0
50856.0,443.0,0.07857,55.0,700.0127275041364,66.0,840.0152730049637,0
50860.0,443.0,0.019551,55.0,2813.1553373228994,66.0,3375.7864047874787,0
49922.0,443.0,0.015312,55.0,3591.9540229885056,66.0,4310.344827586207,0
50691.0,443.0,0.028534,55.0,1927.525057825752,60.0,2102.754608537184,0
50871.0,443.0,0.014992,55.0,3668.6232657417286,66.0,4402.347918890075,0
49634.0,443.0,0.029608,55.0,1857.606052418265,60.0,2026.4793299108348,0
49641.0,443.0,0.039749,55.0,1383.682608367506,60.0,1509.4719364009156,0
50367.0,443.0,0.019173,162.0,8449.381943357848,145.0,7562.718406091901,0
51090.0,443.0,0.424525,1149.0,2706.5543843118776,6995.0,16477.239267416524,0
50707.0,443.0,0.25449,55.0,216.1185115328697,66.0,259.3422138394436,0
50699.0,443.0,0.027971,55.0,1966.322262343141,60.0,2145.078831647063,0
49643.0,443.0,0.041056,55.0,1339.6336710833982,60.0,1461.418550272798,0
50865.0,443.0,0.019739,55.0,2786.3620244186636,66.0,3343.634429302396,0
50862.0,443.0,0.01957,55.0,2810.424118548799,66.0,3372.5089422585593,0
50861.0,443.0,0.019562,55.0,2811.573458746549,66.0,3373.8881504958595,0
50863.0,443.0,0.019519,55.0,2817.7673036528513,66.0,3381.3207643834207,0
